Name;CodIBGE;Categoria;Longitude;Latitude
CORONEL SAPUCAIA;5003157;CIDADE;-55.5413276902645;-23.2764445601002
ARAL MOREIRA;5001243;CIDADE;-55.6307614468625;-22.9478813284076
BELA VISTA;5002100;CIDADE;-56.5313145677842;-22.1159761777779
ANTÔNIO JOÃO;5000906;CIDADE;-55.9480815053866;-22.1946853898682
PONTA PORÃ;5006606;CIDADE;-55.7108501778637;-22.4861870780929
BONITO;5002209;CIDADE;-56.4928586185731;-21.1243412838146
BODOQUENA;5002159;CIDADE;-56.6735673000081;-20.5548426975257
JARDIM;5005004;CIDADE;-56.1458445844119;-21.479603145113
GUIA LOPES DA LAGUNA;5004106;CIDADE;-56.1081525022452;-21.4524591416024
NIOAQUE;5005806;CIDADE;-55.83388992141349;-21.1581523128633
ANASTÁCIO;5000708;CIDADE;-55.8045705990792;-20.4823601989565
AQUIDAUANA;5001102;CIDADE;-55.7906160902267;-20.4746543462973
MIRANDA;5005608;CIDADE;-56.3901982861341;-20.2393334984304
PARANHOS;5006358;CIDADE;-55.4330304573901;-23.8968696607807
SETE QUEDAS;5007703;CIDADE;-55.0533150890634;-23.9835132542699
TACURU;5007950;CIDADE;-55.0203205182963;-23.6347420213221
AMAMBAI;5000609;CIDADE;-55.2438276926237;-23.1005822376948
JAPORÃ;5004809;CIDADE;-54.4034847428654;-23.89406695076231
MUNDO NOVO;5005681;CIDADE;-54.2816614237766;-23.9352736174856
ELDORADO;5003751;CIDADE;-54.2800282489385;-23.7740539193786
IGUATEMI;5004304;CIDADE;-54.5586010866498;-23.6619015638135
JUTI;5005152;CIDADE;-54.60132283125709;-22.8624718337163
LAGUNA CARAPÃ;5005251;CIDADE;-55.1501077344737;-22.5505815138437
